
2024/09/06 (11:14:37) | ===> btop++ v.1.3.2
2024/09/06 (11:14:37) | INFO: Logger set to DEBUG
2024/09/06 (11:14:37) | DEBUG: Writing new config file
2024/09/06 (11:14:37) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.
2024/09/06 (11:14:37) | INFO: Quitting! Runtime: 00:00:00

2024/09/06 (11:14:49) | ===> btop++ v.1.3.2
2024/09/06 (11:14:49) | INFO: Logger set to DEBUG
2024/09/06 (11:14:49) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/09/06 (11:14:49) | INFO: Running on /dev/pts/0
2024/09/06 (11:14:49) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/06 (11:14:49) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/06 (11:14:49) | DEBUG: Shared::init() : Initialized.
2024/09/06 (11:14:49) | DEBUG: Loading theme file: /home/novo/.config/btop/themes/catppuccin_mocha.theme

2024/09/06 (12:02:52) | ===> btop++ v.1.3.2
2024/09/06 (12:02:52) | INFO: Logger set to DEBUG
2024/09/06 (12:02:52) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/09/06 (12:02:52) | INFO: Running on /dev/pts/0
2024/09/06 (12:02:52) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/06 (12:02:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/06 (12:02:52) | DEBUG: Shared::init() : Initialized.
2024/09/06 (12:02:52) | DEBUG: Loading theme file: /home/novo/.config/btop/themes/catppuccin_mocha.theme

2024/09/18 (16:56:31) | ===> btop++ v.1.3.2
2024/09/18 (16:56:31) | INFO: Logger set to DEBUG
2024/09/18 (16:56:31) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/09/18 (16:56:31) | INFO: Running on /dev/pts/0
2024/09/18 (16:56:31) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/18 (16:56:31) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/18 (16:56:31) | DEBUG: Shared::init() : Initialized.
2024/09/18 (16:56:31) | DEBUG: Loading theme file: /home/novo/.config/btop/themes/catppuccin_mocha.theme

2024/09/18 (18:12:25) | ===> btop++ v.1.3.2
2024/09/18 (18:12:25) | INFO: Logger set to DEBUG
2024/09/18 (18:12:25) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/09/18 (18:12:25) | INFO: Running on /dev/pts/0
2024/09/18 (18:12:25) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/09/18 (18:12:25) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/18 (18:12:25) | DEBUG: Shared::init() : Initialized.
2024/09/18 (18:12:25) | DEBUG: Loading theme file: /home/novo/.config/btop/themes/catppuccin_mocha.theme

2024/09/18 (18:27:04) | ===> btop++ v.1.3.2
2024/09/18 (18:27:04) | INFO: Logger set to DEBUG
